[0.012s][info][gc,heap] Heap region size: 4M
[30.159s][info][gc,stringtable ] GC(21) Cleaned string and symbol table, strings: 8168 processed, 3 removed, symbols: 54296 processed, 4 removed
[30.159s][info][gc,phases      ] GC(21) Phase 1: Mark live objects 102.663ms
[30.159s][info][gc,phases,start] GC(21) Phase 2: Prepare for compaction
[30.221s][info][gc,phases      ] GC(21) Phase 2: Prepare for compaction 62.261ms
[30.221s][info][gc,phases,start] GC(21) Phase 3: Adjust pointers
[30.305s][info][gc,phases      ] GC(21) Phase 3: Adjust pointers 83.336ms
[30.305s][info][gc,phases,start] GC(21) Phase 4: Compact heap
[30.375s][info][gc,phases      ] GC(21) Phase 4: Compact heap 69.734ms
[30.378s][info][gc,heap        ] GC(21) Eden regions: 934->0(1228)
[30.378s][info][gc,heap        ] GC(21) Survivor regions: 61->0(154)
[30.378s][info][gc,heap        ] GC(21) Old regions: 114->111
[30.378s][info][gc,heap        ] GC(21) Humongous regions: 1->0
[30.378s][info][gc,metaspace   ] GC(21) Metaspace: 18325K(18944K)->18325K(18944K) NonClass: 16729K(17152K)->16729K(17152K) Class: 1596K(1792K)->1596K(1792K)
[30.378s][info][gc             ] GC(21) Pause Full (System.gc()) 4423M->427M(8192M) 321.972ms
[30.378s][info][gc,cpu         ] GC(21) User=1.80s Sys=0.06s Real=0.32s
[32.484s][info][gc,start       ] GC(22) Pause Young (Normal) (G1 Evacuation Pause)
[32.484s][info][gc,task        ] GC(22) Using 6 workers of 6 for evacuation
[32.524s][info][gc,phases      ] GC(22)   Pre Evacuate Collection Set: 0.0ms
[32.524s][info][gc,phases      ] GC(22)   Evacuate Collection Set: 38.0ms
[32.524s][info][gc,phases      ] GC(22)   Post Evacuate Collection Set: 1.4ms
[32.524s][info][gc,phases      ] GC(22)   Other: 0.3ms
[32.524s][info][gc,heap        ] GC(22) Eden regions: 1228->0(1213)
[32.524s][info][gc,heap        ] GC(22) Survivor regions: 0->15(154)
[32.524s][info][gc,heap        ] GC(22) Old regions: 111->111
[32.524s][info][gc,heap        ] GC(22) Humongous regions: 0->0
[32.524s][info][gc,metaspace   ] GC(22) Metaspace: 18413K(18944K)->18413K(18944K) NonClass: 16817K(17152K)->16817K(17152K) Class: 1596K(1792K)->1596K(1792K)
[32.524s][info][gc             ] GC(22) Pause Young (Normal) (G1 Evacuation Pause) 5339M->485M(8192M) 39.850ms
[32.524s][info][gc,cpu         ] GC(22) User=0.19s Sys=0.00s Real=0.04s
[34.321s][info][gc,start       ] GC(23) Pause Young (Normal) (G1 Evacuation Pause)
[34.321s][info][gc,task        ] GC(23) Using 6 workers of 6 for evacuation
[34.375s][info][gc,phases      ] GC(23)   Pre Evacuate Collection Set: 0.0ms
[34.375s][info][gc,phases      ] GC(23)   Evacuate Collection Set: 51.9ms
[34.375s][info][gc,phases      ] GC(23)   Post Evacuate Collection Set: 1.7ms
[34.375s][info][gc,phases      ] GC(23)   Other: 0.2ms
[34.375s][info][gc,heap        ] GC(23) Eden regions: 1213->0(1205)
[34.375s][info][gc,heap        ] GC(23) Survivor regions: 15->23(154)
